id,number of bedrooms,number of bathrooms,living area,waterfront present,condition of the house,Distance from the airport,Number of schools nearby,Lattitude,Longitude,Price
6762812149.0,5.0,3.5,4490.0,0.0,3.0,70.0,2.0,52.7696,-114.263,890000
6762812331.0,4.0,3.0,3690.0,0.0,3.0,62.0,3.0,52.8237,-114.172,865000
6762812415.0,4.0,2.8,2600.0,0.0,4.0,69.0,2.0,52.8682,-114.587,855000
6762812659.0,4.0,3.0,2170.0,0.0,4.0,73.0,3.0,52.8496,-114.482,831000
6762812664.0,4.0,2.5,3400.0,0.0,3.0,58.0,3.0,52.938,-114.299,830000
6762812761.0,6.0,1.8,2920.0,0.0,4.0,68.0,3.0,52.8324,-114.485,823000
6762812961.0,5.0,2.5,3180.0,0.0,4.0,76.0,1.0,52.882,-114.372,800866
6762812963.0,3.0,2.5,3240.0,0.0,3.0,66.0,3.0,52.8157,-114.228,800000
6762813152.0,3.0,1.8,1330.0,0.0,3.0,56.0,3.0,52.8374,-114.385,787000
6762813210.0,4.0,2.5,2730.0,0.0,3.0,79.0,3.0,52.8527,-114.219,780000
6762813361.0,3.0,2.0,2350.0,0.0,4.0,77.0,1.0,52.869,-114.5,770000
6762813551.0,4.0,2.5,2120.0,0.0,4.0,73.0,2.0,52.8158,-114.36,755000
6762813766.0,4.0,1.8,2010.0,0.0,3.0,55.0,2.0,52.8637,-114.561,740000
6762813838.0,4.0,2.5,3180.0,0.0,3.0,77.0,2.0,52.745,-114.307,736500
6762814206.0,4.0,2.5,2450.0,0.0,3.0,75.0,1.0,52.9348,-114.303,712198
6762814291.0,3.0,2.5,2490.0,0.0,3.0,59.0,3.0,52.7793,-114.183,705380
6762814896.0,3.0,2.5,1680.0,0.0,3.0,69.0,3.0,52.8904,-114.48,670000
6762814966.0,4.0,2.5,2800.0,0.0,3.0,63.0,2.0,52.9109,-114.476,665000
6762815131.0,4.0,1.0,1390.0,0.0,3.0,68.0,1.0,52.8896,-114.528,657100
6762815226.0,3.0,1.5,2160.0,0.0,4.0,75.0,2.0,52.9541,-114.559,650000
6762815643.0,4.0,2.5,2440.0,0.0,3.0,77.0,2.0,52.9271,-114.561,631625
6762815727.0,4.0,2.3,1990.0,0.0,3.0,61.0,3.0,52.7988,-114.277,627000
6762815880.0,3.0,1.8,1480.0,0.0,3.0,52.0,2.0,52.9245,-114.36,620000
6762815955.0,3.0,2.0,1800.0,0.0,4.0,69.0,1.0,52.9038,-114.487,618500
6762815987.0,4.0,1.8,2300.0,0.0,4.0,50.0,3.0,52.8631,-114.284,615000
6762816274.0,3.0,1.8,1670.0,0.0,4.0,77.0,1.0,52.8229,-114.179,600000
6762816275.0,3.0,1.8,1880.0,0.0,4.0,57.0,2.0,52.9178,-114.476,600000
6762816667.0,2.0,1.0,1770.0,0.0,3.0,77.0,3.0,52.9226,-114.553,585000
6762816779.0,2.0,1.0,2540.0,0.0,5.0,77.0,3.0,52.7559,-114.451,580000
6762817053.0,3.0,2.3,2010.0,0.0,3.0,78.0,2.0,52.9212,-114.305,570000
6762817314.0,3.0,2.5,1900.0,0.0,3.0,58.0,2.0,52.85,-114.233,560000
6762817450.0,3.0,2.5,1940.0,0.0,3.0,60.0,3.0,52.7944,-114.283,555000
6762817755.0,2.0,1.0,1140.0,0.0,5.0,68.0,1.0,52.8505,-114.484,549000
6762817756.0,4.0,2.5,2910.0,0.0,3.0,54.0,3.0,52.7104,-114.316,549000
6762817929.0,5.0,2.8,2740.0,0.0,4.0,69.0,1.0,52.7863,-114.374,541125
6762818230.0,2.0,3.0,1270.0,0.0,3.0,71.0,1.0,52.8934,-114.53,531000
6762818400.0,5.0,1.8,2550.0,0.0,5.0,65.0,2.0,52.7145,-114.27,525888
6762818543.0,3.0,1.8,1560.0,0.0,4.0,70.0,3.0,52.8815,-114.589,524000
6762818924.0,3.0,2.5,1790.0,0.0,3.0,79.0,1.0,52.794,-114.283,509900
6762819061.0,4.0,1.0,2070.0,0.0,3.0,56.0,2.0,52.862,-114.309,501000
6762819262.0,4.0,2.5,2910.0,0.0,3.0,50.0,1.0,52.7702,-114.077,499000
6762819312.0,6.0,2.8,3200.0,0.0,4.0,56.0,2.0,52.722,-114.554,497300
6762819594.0,4.0,1.8,2010.0,0.0,3.0,62.0,3.0,52.9506,-114.361,487585
6762819620.0,4.0,3.0,2340.0,0.0,4.0,53.0,1.0,52.9606,-114.417,485000
6762819874.0,3.0,2.5,3040.0,0.0,3.0,79.0,2.0,52.74,-114.375,478000
6762820970.0,4.0,2.0,1480.0,0.0,5.0,73.0,1.0,52.9342,-114.542,449250
6762821445.0,5.0,2.0,1840.0,0.0,4.0,78.0,3.0,52.9608,-114.53,435000
6762822174.0,2.0,2.5,1590.0,0.0,3.0,80.0,2.0,52.7741,-114.203,419190
6762822204.0,3.0,2.0,1410.0,0.0,4.0,51.0,2.0,52.9294,-114.537,418000
6762822246.0,3.0,2.5,1408.0,0.0,3.0,64.0,1.0,52.9156,-114.505,416286
6762822266.0,3.0,2.3,1620.0,0.0,3.0,59.0,3.0,52.7701,-114.217,415000
6762822453.0,3.0,2.3,1800.0,0.0,4.0,74.0,1.0,52.6988,-114.203,410000
6762822604.0,3.0,2.3,1410.0,0.0,3.0,70.0,2.0,52.9216,-114.53,406100
6762822620.0,2.0,3.0,1410.0,0.0,3.0,74.0,3.0,52.7521,-114.58,405000
6762822792.0,2.0,1.8,2110.0,0.0,2.0,77.0,2.0,52.9804,-114.496,400000
6762822793.0,2.0,1.0,840.0,0.0,3.0,79.0,2.0,52.7547,-114.581,400000
6762823019.0,3.0,2.5,2230.0,0.0,3.0,78.0,3.0,52.8101,-114.496,398750
6762823544.0,5.0,2.5,3090.0,0.0,3.0,63.0,2.0,52.5708,-114.525,384900
6762823717.0,4.0,1.8,1970.0,0.0,5.0,72.0,1.0,53.0071,-114.529,379950
6762824223.0,3.0,3.0,1571.0,0.0,3.0,62.0,1.0,52.9638,-114.499,366750
6762825311.0,5.0,1.0,1120.0,0.0,4.0,69.0,3.0,52.9596,-114.43,340000
6762825312.0,2.0,1.5,1160.0,0.0,3.0,72.0,1.0,52.8217,-114.485,340000
6762825869.0,2.0,1.0,1140.0,0.0,4.0,65.0,2.0,52.961,-114.531,329950
6762825928.0,4.0,2.5,2370.0,0.0,3.0,60.0,3.0,52.5628,-114.363,328000
6762826775.0,4.0,2.8,2310.0,0.0,3.0,68.0,3.0,52.5914,-114.225,309950
6762826776.0,3.0,2.5,1880.0,0.0,3.0,52.0,3.0,52.6739,-114.38,309950
6762827057.0,3.0,2.0,1050.0,0.0,3.0,56.0,3.0,52.9641,-114.166,300000
6762827694.0,3.0,1.0,1450.0,0.0,4.0,61.0,2.0,52.7538,-114.477,287000
6762829320.0,3.0,2.0,1550.0,0.0,4.0,65.0,3.0,52.7173,-114.289,249950
6762829453.0,3.0,1.8,1920.0,0.0,3.0,54.0,3.0,52.5619,-114.457,245000
6762829917.0,2.0,1.0,1200.0,0.0,4.0,56.0,2.0,52.6504,-114.514,232000
6762830263.0,4.0,1.5,1240.0,0.0,3.0,52.0,1.0,52.5506,-114.587,220000
6762830332.0,4.0,1.5,1120.0,0.0,3.0,77.0,3.0,52.5928,-114.277,219900
6762830530.0,3.0,1.0,1340.0,0.0,3.0,58.0,1.0,52.9834,-114.102,210000
6762830531.0,5.0,2.0,2050.0,0.0,3.0,73.0,1.0,52.6436,-114.523,210000
6762830664.0,2.0,1.0,810.0,0.0,5.0,75.0,2.0,52.7182,-114.515,206000
6762831089.0,3.0,1.8,1490.0,0.0,4.0,55.0,1.0,52.5375,-114.474,184000
6762810285.0,5.0,4.0,4510.0,0.0,3.0,65.0,1.0,52.7609,-114.418,1870000
6762810310.0,5.0,5.0,4490.0,0.0,3.0,68.0,1.0,52.8274,-114.392,1800000
6762810471.0,4.0,3.3,3760.0,0.0,5.0,62.0,3.0,52.8987,-114.454,1580000
6762810939.0,4.0,2.3,3490.0,0.0,4.0,61.0,1.0,52.8724,-114.597,1230000
6762811141.0,4.0,2.8,3370.0,0.0,3.0,60.0,2.0,52.7532,-114.573,1140000
6762811335.0,3.0,2.5,2200.0,0.0,3.0,65.0,3.0,52.8726,-114.517,1050000
6762811613.0,3.0,2.5,2690.0,0.0,3.0,65.0,1.0,52.9097,-114.575,979000
6762811999.0,3.0,3.5,3020.0,0.0,3.0,60.0,1.0,52.881,-114.599,910000
6762812370.0,4.0,2.0,3740.0,0.0,3.0,73.0,2.0,52.9028,-114.202,860000
6762813278.0,4.0,2.5,3040.0,0.0,3.0,57.0,2.0,52.9088,-114.307,776000
6762813464.0,4.0,2.5,3880.0,0.0,3.0,55.0,3.0,52.8678,-114.23,762300
6762813840.0,4.0,2.5,2290.0,0.0,4.0,50.0,1.0,52.7899,-114.295,736000
6762813978.0,4.0,2.5,3200.0,0.0,3.0,61.0,2.0,52.7573,-114.333,725126
6762814626.0,4.0,2.5,3030.0,0.0,3.0,74.0,3.0,52.8375,-114.207,685000
6762814788.0,2.0,1.0,930.0,0.0,3.0,79.0,3.0,52.7999,-114.354,675000
6762815143.0,4.0,3.5,3380.0,0.0,3.0,76.0,2.0,53.0041,-114.569,655500
6762815227.0,3.0,1.5,1630.0,0.0,3.0,65.0,1.0,52.9025,-114.462,650000
6762815228.0,5.0,3.5,3480.0,0.0,4.0,66.0,3.0,52.8041,-114.24,650000
6762816060.0,4.0,2.0,2060.0,0.0,3.0,66.0,1.0,52.9292,-114.569,612500
6762816083.0,4.0,3.0,2450.0,0.0,5.0,78.0,2.0,52.7994,-114.322,610000
6762816134.0,4.0,2.5,2150.0,0.0,3.0,69.0,2.0,52.9527,-114.288,609000
6762816173.0,4.0,2.5,2110.0,0.0,3.0,50.0,2.0,52.7797,-114.267,606000
6762816405.0,4.0,2.3,2260.0,0.0,4.0,58.0,3.0,52.7989,-114.316,599000
6762816780.0,4.0,3.3,3569.0,0.0,3.0,69.0,1.0,52.6895,-114.398,580000
6762816917.0,3.0,1.8,2130.0,0.0,3.0,58.0,3.0,52.8724,-114.576,575000
6762817272.0,4.0,3.0,3100.0,0.0,3.0,67.0,2.0,52.9766,-114.431,563000
6762817288.0,5.0,2.3,3040.0,0.0,3.0,72.0,3.0,52.9457,-114.293,562000
6762817305.0,3.0,2.0,2000.0,0.0,3.0,62.0,2.0,52.7752,-114.583,561000
6762818108.0,3.0,2.5,1850.0,0.0,3.0,56.0,3.0,52.9463,-114.419,535000
6762818202.0,5.0,2.8,1800.0,0.0,3.0,79.0,1.0,52.9131,-114.533,533000
6762818237.0,5.0,2.5,2910.0,0.0,4.0,54.0,3.0,52.8103,-114.309,530000
6762818403.0,3.0,2.5,2970.0,0.0,3.0,70.0,3.0,52.8659,-114.242,525000
6762818591.0,3.0,2.5,2460.0,0.0,4.0,77.0,1.0,52.7296,-114.336,520000
6762818667.0,3.0,1.5,1430.0,0.0,4.0,78.0,2.0,52.8174,-114.326,518000
6762818718.0,3.0,2.5,1790.0,0.0,3.0,71.0,3.0,52.8476,-114.235,515000
6762818810.0,4.0,2.5,2000.0,0.0,3.0,72.0,3.0,52.9743,-114.41,513000
6762819071.0,3.0,2.5,1480.0,0.0,3.0,56.0,1.0,52.85,-114.49,500000
6762819263.0,2.0,1.8,1170.0,0.0,4.0,54.0,1.0,52.8953,-114.523,499000
6762819584.0,5.0,2.0,2020.0,0.0,4.0,57.0,1.0,52.9249,-114.56,488000
6762819621.0,3.0,2.0,1420.0,0.0,3.0,55.0,2.0,52.9172,-114.539,485000
6762819707.0,2.0,1.8,1660.0,0.0,3.0,76.0,2.0,52.8924,-114.481,484000
6762819714.0,4.0,2.5,2740.0,0.0,3.0,70.0,2.0,52.97,-114.238,483500
6762819923.0,6.0,3.0,3470.0,0.0,3.0,65.0,3.0,52.9963,-114.424,475000
6762820190.0,2.0,1.0,1030.0,0.0,3.0,61.0,2.0,52.911,-114.551,469000
6762820263.0,3.0,2.3,1970.0,0.0,4.0,56.0,3.0,52.9951,-114.467,465000
6762820431.0,2.0,2.3,1230.0,0.0,3.0,73.0,2.0,52.8491,-114.491,460000
6762820605.0,5.0,2.5,2240.0,0.0,3.0,52.0,2.0,52.9498,-114.361,455000
6762820766.0,2.0,2.0,1100.0,0.0,3.0,70.0,3.0,52.9097,-114.552,450000
6762821835.0,4.0,2.0,1520.0,0.0,5.0,60.0,1.0,52.9657,-114.383,425000
6762822588.0,4.0,2.3,2810.0,0.0,3.0,71.0,1.0,52.625,-114.501,407000
6762822705.0,4.0,1.8,1840.0,0.0,3.0,64.0,1.0,52.8374,-114.315,404000
6762823058.0,4.0,2.0,1440.0,0.0,3.0,66.0,3.0,52.9545,-114.39,397000
6762823244.0,3.0,1.8,1260.0,0.0,4.0,51.0,3.0,52.8524,-114.306,390000
6762823245.0,5.0,3.8,2890.0,0.0,3.0,72.0,1.0,52.8001,-114.486,390000
6762823419.0,3.0,1.0,1230.0,0.0,5.0,56.0,2.0,52.769,-114.369,387000
6762823456.0,3.0,1.8,1900.0,0.0,3.0,50.0,3.0,52.7849,-114.482,385000
6762823727.0,4.0,1.8,1500.0,0.0,4.0,65.0,2.0,52.9673,-114.431,379900
6762824138.0,3.0,2.0,1270.0,0.0,3.0,59.0,2.0,52.9237,-114.532,369950
6762824202.0,3.0,1.5,1410.0,0.0,3.0,78.0,2.0,52.9908,-114.551,367500
6762824247.0,3.0,1.5,1310.0,0.0,3.0,69.0,1.0,52.9591,-114.529,365000
6762824373.0,3.0,2.3,1640.0,0.0,4.0,70.0,2.0,52.6776,-114.522,362000
6762824403.0,4.0,2.0,2680.0,0.0,5.0,54.0,1.0,52.5482,-114.469,360000
6762824756.0,3.0,1.0,1350.0,0.0,4.0,64.0,2.0,52.9398,-114.481,353000
6762825130.0,4.0,2.5,2331.0,0.0,3.0,65.0,2.0,52.6744,-114.372,345000
6762825131.0,3.0,1.0,1110.0,0.0,3.0,61.0,3.0,52.9277,-114.482,345000
6762825904.0,2.0,1.0,720.0,0.0,3.0,53.0,2.0,52.9301,-114.552,329350
6762825992.0,4.0,2.5,1890.0,0.0,3.0,78.0,1.0,52.781,-114.546,325000
6762826596.0,3.0,1.0,1510.0,0.0,4.0,73.0,2.0,52.9266,-114.514,313950
6762826630.0,4.0,2.0,1300.0,0.0,3.0,64.0,1.0,52.7371,-114.559,312000
6762827348.0,3.0,2.3,1980.0,0.0,4.0,51.0,3.0,52.5449,-114.568,295000
6762827837.0,4.0,2.5,2000.0,0.0,3.0,73.0,3.0,52.6032,-114.319,284000
6762827916.0,3.0,1.8,1630.0,0.0,4.0,75.0,2.0,52.7163,-113.92,280000
6762828037.0,3.0,1.8,1580.0,0.0,4.0,79.0,3.0,52.5972,-114.502,279900
6762828331.0,3.0,2.5,1650.0,0.0,3.0,61.0,1.0,52.8853,-114.102,272000
6762829190.0,3.0,1.0,1050.0,0.0,3.0,53.0,3.0,52.992,-114.545,250000
6762829881.0,3.0,1.8,1490.0,0.0,4.0,74.0,1.0,52.605,-114.33,234000
6762830340.0,2.0,1.0,900.0,0.0,3.0,68.0,2.0,52.755,-114.546,219000
6762830360.0,3.0,1.8,1850.0,0.0,3.0,55.0,2.0,52.5275,-114.56,218000
6762830890.0,3.0,1.8,1690.0,0.0,4.0,52.0,2.0,52.5624,-114.47,197000
6762830971.0,3.0,1.5,800.0,0.0,4.0,50.0,2.0,52.5566,-114.538,191000
6762831182.0,3.0,1.0,1010.0,0.0,3.0,50.0,1.0,52.72,-114.41,175000
6762831495.0,3.0,1.5,1420.0,0.0,3.0,71.0,1.0,52.5376,-114.552,136500
6762831616.0,2.0,1.0,780.0,0.0,1.0,51.0,2.0,52.7039,-114.47,78000
6762810052.0,7.0,4.5,6210.0,0.0,5.0,64.0,1.0,52.8607,-114.544,3200000
6762810519.0,5.0,4.5,4270.0,0.0,3.0,72.0,2.0,52.929,-114.396,1530000
6762810536.0,6.0,2.5,3560.0,0.0,4.0,66.0,2.0,52.857,-114.494,1500000
6762810736.0,3.0,3.0,2960.0,0.0,3.0,80.0,3.0,52.8656,-114.592,1340000
6762811104.0,4.0,4.0,4460.0,0.0,3.0,77.0,3.0,52.864,-114.187,1150000
6762811190.0,4.0,1.5,2310.0,0.0,3.0,61.0,2.0,52.8532,-114.4,1110000
6762811389.0,4.0,3.5,3900.0,0.0,3.0,73.0,2.0,52.9279,-114.395,1040000
6762811814.0,4.0,2.3,1890.0,0.0,3.0,62.0,1.0,52.8616,-114.493,940000
6762812054.0,5.0,3.8,4130.0,0.0,3.0,55.0,3.0,52.945,-114.255,900000
6762813091.0,4.0,2.0,2210.0,0.0,4.0,65.0,1.0,52.8798,-114.586,794154
6762813283.0,3.0,2.0,2540.0,0.0,4.0,72.0,2.0,52.8272,-114.482,775000
6762813540.0,4.0,2.8,2410.0,0.0,4.0,63.0,2.0,52.8803,-114.387,758000
6762813601.0,3.0,2.8,2520.0,0.0,4.0,80.0,2.0,52.8752,-114.563,750000
6762813688.0,4.0,2.8,2600.0,0.0,5.0,78.0,2.0,52.7956,-114.59,749950
6762814292.0,4.0,2.5,2650.0,0.0,3.0,53.0,3.0,52.8166,-114.579,705000
6762814540.0,3.0,2.0,1760.0,0.0,4.0,74.0,3.0,52.8688,-114.587,690000
6762814789.0,3.0,1.8,1680.0,0.0,4.0,70.0,2.0,52.8398,-114.359,675000
6762814790.0,4.0,4.0,3680.0,0.0,3.0,79.0,2.0,52.8493,-114.204,675000
6762815215.0,3.0,2.5,3240.0,0.0,4.0,71.0,2.0,52.557,-114.284,651000
6762815462.0,3.0,3.0,2270.0,0.0,3.0,62.0,1.0,52.746,-114.393,640000
6762815655.0,3.0,2.5,2680.0,0.0,3.0,55.0,1.0,52.6083,-114.193,630000
6762815656.0,2.0,2.3,2550.0,0.0,3.0,80.0,3.0,52.7604,-114.392,630000
6762815957.0,3.0,2.5,2030.0,0.0,3.0,66.0,1.0,52.7954,-114.282,618080
6762816079.0,3.0,3.0,1680.0,0.0,3.0,62.0,3.0,52.8872,-114.536,610950
6762816276.0,3.0,2.5,2460.0,0.0,4.0,55.0,1.0,52.7124,-114.19,600000
6762816384.0,9.0,4.5,3830.0,0.0,3.0,62.0,1.0,52.9227,-114.528,599999
6762816406.0,3.0,1.8,1960.0,0.0,4.0,66.0,2.0,52.9046,-114.502,599000
6762816769.0,4.0,2.0,2510.0,0.0,4.0,74.0,2.0,52.9305,-114.364,581000
6762816918.0,4.0,2.0,1650.0,0.0,3.0,53.0,3.0,52.9081,-114.564,575000
6762817146.0,3.0,2.0,2350.0,0.0,3.0,65.0,1.0,52.7816,-114.453,568000
6762817315.0,3.0,3.0,4120.0,0.0,3.0,51.0,3.0,52.9104,-114.103,560000
6762817316.0,3.0,2.0,1860.0,0.0,3.0,57.0,3.0,52.7697,-114.244,560000
6762817937.0,7.0,5.8,3700.0,0.0,3.0,65.0,1.0,52.9693,-114.479,540000
6762818109.0,3.0,1.8,2720.0,0.0,3.0,58.0,1.0,52.9392,-114.082,535000
6762818110.0,3.0,2.5,2280.0,0.0,3.0,65.0,3.0,52.7675,-114.263,535000
6762818238.0,3.0,1.0,1340.0,0.0,3.0,71.0,2.0,52.8933,-114.514,530000
6762818388.0,2.0,2.0,1550.0,0.0,4.0,66.0,3.0,52.884,-114.536,526000
6762818648.0,3.0,2.3,1170.0,0.0,3.0,59.0,3.0,52.9022,-114.571,519950
6762818719.0,3.0,1.8,1580.0,0.0,4.0,62.0,3.0,52.8369,-114.302,515000
6762818846.0,4.0,2.5,2430.0,0.0,3.0,58.0,3.0,52.9702,-114.507,510000
6762819032.0,3.0,2.8,1540.0,0.0,5.0,67.0,3.0,52.9463,-114.402,503000
